bufCapacity#producer#consumer#level
1#1#10#16
1#1#2#8
1#1#3#9
1#1#4#10
1#1#5#11
1#1#6#12
1#1#7#13
1#1#8#14
1#1#9#15
1#10#1#17
1#10#10#25
1#10#10#26
1#10#2#17
1#10#2#18
1#10#3#18
1#10#3#19
1#10#4#19
1#10#4#20
1#10#5#20
1#10#5#21
1#10#6#21
1#10#6#22
1#10#7#22
1#10#7#23
1#10#8#23
1#10#8#24
1#10#9#24
1#10#9#25
1#2#1#9
1#2#10#17
1#2#10#18
1#2#2#10
1#2#2#10
1#2#2#9
1#2#3#10
1#2#3#10
1#2#3#11
1#2#4#11
1#2#4#11
1#2#4#12
1#2#4#12
1#2#5#12
1#2#5#12
1#2#5#13
1#2#5#13
1#2#6#13
1#2#6#14
1#2#7#14
1#2#7#15
1#2#8#15
1#2#8#16
1#2#9#16
1#2#9#17
1#3#1#10
1#3#1#10
1#3#10#18
1#3#10#19
1#3#2#10
1#3#2#11
1#3#2#11
1#3#3#11
1#3#3#12
1#3#3#12
1#3#4#12
1#3#4#13
1#3#4#13
1#3#5#13
1#3#5#14
1#3#6#14
1#3#6#15
1#3#7#15
1#3#7#16
1#3#8#16
1#3#8#17
1#3#9#17
1#3#9#18
1#4#1#11
1#4#10#19
1#4#10#20
1#4#2#11
1#4#2#12
1#4#2#12
1#4#3#12
1#4#3#13
1#4#4#13
1#4#4#14
1#4#5#14
1#4#5#15
1#4#6#15
1#4#6#16
1#4#7#16
1#4#7#17
1#4#8#17
1#4#8#18
1#4#9#18
1#4#9#19
1#5#1#12
1#5#10#20
1#5#10#21
1#5#2#12
1#5#2#13
1#5#3#13
1#5#3#14
1#5#4#14
1#5#4#15
1#5#5#15
1#5#5#16
1#5#6#16
1#5#6#17
1#5#7#17
1#5#7#18
1#5#8#18
1#5#8#19
1#5#9#19
1#5#9#20
1#6#1#13
1#6#10#21
1#6#10#22
1#6#2#13
1#6#2#14
1#6#3#14
1#6#3#15
1#6#4#15
1#6#4#16
1#6#5#16
1#6#5#17
1#6#6#17
1#6#6#18
1#6#7#18
1#6#7#19
1#6#8#19
1#6#8#20
1#6#9#20
1#6#9#21
1#7#1#14
1#7#10#22
1#7#10#23
1#7#2#14
1#7#2#15
1#7#3#15
1#7#3#16
1#7#4#16
1#7#4#17
1#7#5#17
1#7#5#18
1#7#6#18
1#7#6#19
1#7#7#19
1#7#7#20
1#7#8#20
1#7#8#21
1#7#9#21
1#7#9#22
1#8#1#15
1#8#10#23
1#8#10#24
1#8#2#15
1#8#2#16
1#8#3#16
1#8#3#17
1#8#4#17
1#8#4#18
1#8#5#18
1#8#5#19
1#8#6#19
1#8#6#20
1#8#7#20
1#8#7#21
1#8#8#21
1#8#8#22
1#8#9#22
1#8#9#23
1#9#1#16
1#9#10#24
1#9#10#25
1#9#2#16
1#9#2#17
1#9#3#17
1#9#3#18
1#9#4#18
1#9#4#19
1#9#5#19
1#9#5#20
1#9#6#20
1#9#6#21
1#9#7#21
1#9#7#22
1#9#8#22
1#9#8#23
1#9#9#23
1#9#9#24
10#11#10#432
10#11#11#243
10#12#10#233
2#1#10#20
2#1#4#14
2#1#5#15
2#1#6#16
2#1#7#17
2#1#8#18
2#1#9#19
2#10#1#22
2#10#10#29
2#10#10#31
2#10#2#23
2#10#3#24
2#10#3#28
2#10#4#23
2#10#4#25
2#10#5#24
2#10#5#26
2#10#6#25
2#10#6#27
2#10#7#26
2#10#7#28
2#10#8#27
2#10#8#29
2#10#9#28
2#10#9#30
2#2#10#21
2#2#3#22
2#2#4#15
2#2#5#16
2#2#6#17
2#2#7#18
2#2#8#19
2#2#9#20
2#3#10#22
2#3#10#26
2#3#2#24
2#3#3#19
2#3#3#21
2#3#4#16
2#3#4#20
2#3#5#17
2#3#5#21
2#3#6#18
2#3#6#22
2#3#6#22
2#3#7#19
2#3#7#23
2#3#7#23
2#3#8#20
2#3#8#24
2#3#9#21
2#3#9#25
2#4#1#16
2#4#10#23
2#4#10#25
2#4#2#17
2#4#2#17
2#4#3#18
2#4#3#22
2#4#4#17
2#4#4#19
2#4#5#18
2#4#5#20
2#4#6#19
2#4#6#21
2#4#7#20
2#4#7#22
2#4#8#21
2#4#8#23
2#4#9#22
2#4#9#24
2#5#1#17
2#5#10#24
2#5#10#26
2#5#2#18
2#5#3#19
2#5#3#23
2#5#4#18
2#5#4#20
2#5#5#19
2#5#5#21
2#5#6#20
2#5#6#22
2#5#7#21
2#5#7#23
2#5#8#22
2#5#8#24
2#5#9#23
2#5#9#25
2#6#1#18
2#6#10#25
2#6#10#27
2#6#2#19
2#6#2#19
2#6#3#20
2#6#3#24
2#6#4#19
2#6#4#21
2#6#5#20
2#6#5#22
2#6#6#21
2#6#6#23
2#6#7#22
2#6#7#24
2#6#8#23
2#6#8#25
2#6#9#24
2#6#9#26
2#7#1#19
2#7#10#26
2#7#10#28
2#7#2#20
2#7#3#21
2#7#3#25
2#7#4#20
2#7#4#22
2#7#5#21
2#7#5#23
2#7#6#22
2#7#6#24
